exchange,symbol,tf,signal_i,bar_ts,signal_ts,session_utc,vol_bucket,ctx_240_regime,direction,entry_model,target_model,management_model,entry_ts,entry,stop,target,risk_price,confirmation_model,gross_r,cost_r,net_r,mfe_r,mae_r,hit_1r,hit_target,hit_stop,exit_reason,bars_to_entry,bars_to_exit,invalid,global_ema_state,global_ema_fast,global_ema_slow,middle_ema_state,middle_ema_fast,middle_ema_slow,local_ema_state,local_ema_fast,local_ema_slow,trend_alignment,exit_ts,pnl_pct,risk_per_trade_pct,open_trades_before,setup_name
binance,BNBUSDT,15,3675,2026-06-20 15:00:00+00:00,2026-06-20 15:15:00+00:00,ny,normal,neutral,long,next_open,fixed_2r,be_after_half_target,2026-06-20 15:15:00+00:00,586.8,582.35,595.6999999999998,4.449999999999932,none,0.04044943820226212,0.1055083146067432,-0.06505887640448108,0.5640449438202313,-0.5505617977528021,False,False,False,expiry,1,24,False,bearish,588.129924522458,597.4586244429045,mixed,584.0207337523917,585.0488113180415,bullish,585.6274477082846,584.7593405677184,counter_global_or_structure,2026-06-20 21:15:00+00:00,-0.00013011775280896216,0.002,4,ny_long_neutral_reversal_ce
binance,AAVEUSDT,15,3694,2026-06-20 19:45:00+00:00,2026-06-20 20:00:00+00:00,ny,high,neutral,long,structure_confirmed_next_open,fixed_2r,be_after_half_target,2026-06-20 20:00:00+00:00,74.0,73.04,75.91999999999999,0.9599999999999937,latest_bull_regime,2.0,0.0466500000000003,1.9533499999999997,3.1979166666666803,-0.03125000000000139,True,True,False,target,1,10,False,bullish,73.61145359236463,71.75935012121356,mixed,74.16240252154383,73.87936877512615,bearish,74.13572082680899,74.2456991398623,counter_global_or_structure,2026-06-20 22:30:00+00:00,0.003906699999999999,0.002,5,ny_long_neutral_reversal_ce
binance,AAVEUSDT,15,3763,2026-06-21 13:00:00+00:00,2026-06-21 13:15:00+00:00,ny,high,neutral,long,next_open,fixed_2r,be_after_half_target,2026-06-21 13:15:00+00:00,74.67,73.7,76.61,0.9699999999999989,none,-0.24742268041236615,0.061484536082474305,-0.30890721649484043,0.6288659793814434,-0.76288659793814,False,False,False,expiry,1,24,False,mixed,74.18446389752381,72.2612498499451,mixed,74.97329968562231,74.53807730408597,mixed,74.63537663312377,75.00174118237766,counter_global_or_structure,2026-06-21 19:15:00+00:00,-0.0006178144329896808,0.002,0,ny_long_neutral_reversal_ce
binance,ETHUSDT,15,3763,2026-06-21 13:00:00+00:00,2026-06-21 13:15:00+00:00,ny,normal,neutral,long,next_open,fixed_2r,be_after_half_target,2026-06-21 13:15:00+00:00,1725.17,1716.0,1743.5100000000002,9.170000000000073,none,1.133042529989072,0.150958778625953,0.9820837513631191,1.4449291166848304,-0.4743729552889969,True,False,False,expiry,1,24,False,mixed,1726.8846755625987,1725.8886389231918,mixed,1729.7850318894805,1726.2233584205517,bearish,1727.2096739976523,1729.9970835906283,counter_global_or_structure,2026-06-21 19:15:00+00:00,0.0019641675027262384,0.002,1,ny_long_neutral_reversal_ce
binance,LINKUSDT,15,3763,2026-06-21 13:00:00+00:00,2026-06-21 13:15:00+00:00,ny,normal,neutral,long,next_open,fixed_2r,be_after_half_target,2026-06-21 13:15:00+00:00,7.942,7.891,8.044,0.051000000000000156,none,0.3529411764705831,0.1247215686274506,0.2282196078431325,0.8823529411764665,-0.7647058823529505,False,False,False,expiry,1,24,False,bearish,7.963482222794782,8.005408889040764,bearish,7.94323694389874,7.947233269895953,bearish,7.94323793804634,7.94485940541002,counter_global_or_structure,2026-06-21 19:15:00+00:00,0.000456439215686265,0.002,2,ny_long_neutral_reversal_ce
binance,NEARUSDT,15,3764,2026-06-21 13:15:00+00:00,2026-06-21 13:30:00+00:00,ny,high,neutral,long,fvg_ce_retest,fixed_2r,be_after_half_target,2026-06-21 13:30:00+00:00,2.182,2.158,2.23,0.02400000000000002,none,0.0,0.07273333333333326,-0.07273333333333326,1.1666666666666667,-1.6250000000000047,True,False,False,breakeven,1,11,False,mixed,2.192290136404576,2.1992434881195417,mixed,2.204546537203321,2.1902559172025273,mixed,2.2178390458745336,2.212080169769959,counter_global_or_structure,2026-06-21 16:15:00+00:00,-0.00014546666666666653,0.002,3,ny_long_neutral_reversal_ce
binance,HYPEUSDT,15,3770,2026-06-21 14:45:00+00:00,2026-06-21 15:00:00+00:00,ny,high,neutral,long,structure_confirmed_next_open,fixed_2r,be_after_half_target,2026-06-21 15:00:00+00:00,68.124,67.265,69.84199999999998,0.8589999999999947,choch_up,-0.23399301513387039,0.06335133876600739,-0.2973443538998778,0.8766006984866179,-0.6519208381839415,False,False,False,expiry,1,24,False,mixed,69.43717014016212,67.59626308280254,bearish,68.9364364904279,69.38790457285684,mixed,68.02651883946247,68.60906210460249,counter_global_or_structure,2026-06-21 21:00:00+00:00,-0.0005946887077997556,0.002,4,ny_long_neutral_reversal_ce
binance,NEARUSDT,15,3785,2026-06-21 18:30:00+00:00,2026-06-21 18:45:00+00:00,ny,high,neutral,long,structure_confirmed_next_open,fixed_2r,be_after_half_target,2026-06-21 18:45:00+00:00,2.184,2.143,2.266000000000001,0.04100000000000037,choch_up,-1.0,0.042214634146341086,-1.0422146341463412,0.34146341463413815,-2.3658536585365635,False,False,True,stop,1,9,False,mixed,2.1931728512768873,2.1993419349724155,mixed,2.193516946310995,2.1879559986828148,mixed,2.1784033995600374,2.192267861465228,counter_global_or_structure,2026-06-21 21:00:00+00:00,-0.0020844292682926824,0.002,4,ny_long_neutral_reversal_ce
binance,SOLUSDT,15,3875,2026-06-22 17:00:00+00:00,2026-06-22 17:15:00+00:00,ny,high,neutral,long,fvg_ce_retest,fixed_2r,be_after_half_target,2026-06-22 17:15:00+00:00,72.77000000000001,72.5,73.31000000000003,0.27000000000001023,none,2.0,0.16211111111110502,1.837888888888895,2.8148148148146745,-5.555555555555397,True,True,False,target,1,4,False,bullish,72.56174264263069,71.40061214209082,mixed,73.67075908862068,73.07568306536132,bearish,73.44741900596662,73.67853792308894,counter_global_or_structure,2026-06-22 18:15:00+00:00,0.00367577777777779,0.002,0,ny_long_neutral_reversal_ce
binance,1000PEPEUSDT,15,2610,2026-06-22 18:00:00+00:00,2026-06-22 18:15:00+00:00,ny,high,neutral,long,fvg_ce_retest,fixed_2r,be_after_half_target,2026-06-22 18:15:00+00:00,0.00283705,0.0028256,0.002859949999999999,1.1449999999999655e-05,none,-1.0,0.19782183406114137,-1.1978218340611413,0.8602620087336548,-4.379912663755562,False,False,True,stop,1,3,False,mixed,0.0028404830188948826,0.002857628752340356,mixed,0.0028482034605464427,0.002840832232432476,mixed,0.0028528095872190793,0.0028510803663177107,counter_global_or_structure,2026-06-22 19:00:00+00:00,-0.0023956436681222826,0.002,0,ny_long_neutral_reversal_ce
binance,DOGEUSDT,15,3879,2026-06-22 18:00:00+00:00,2026-06-22 18:15:00+00:00,ny,normal,neutral,long,fvg_ce_retest,fixed_2r,be_after_half_target,2026-06-22 18:15:00+00:00,0.083175,0.08289,0.08374499999999999,0.0002849999999999936,none,-1.0,0.23307368421053157,-1.2330736842105317,0.8947368421053016,-4.824561403508885,False,False,True,stop,1,3,False,bearish,0.08364342507328203,0.08481085768599661,mixed,0.08359704974424369,0.08353100924381839,bearish,0.08358404154048267,0.08364272254118203,counter_global_or_structure,2026-06-22 19:00:00+00:00,-0.0024661473684210633,0.002,1,ny_long_neutral_reversal_ce
binance,SOLUSDT,15,3879,2026-06-22 18:00:00+00:00,2026-06-22 18:15:00+00:00,ny,high,neutral,long,structure_confirmed_next_open,fixed_2r,be_after_half_target,2026-06-22 18:15:00+00:00,73.45,72.5,75.35000000000001,0.9500000000000028,latest_bull_regime,-1.0,0.06145263157894719,-1.0614526315789472,0.08421052631578743,-2.2947368421052636,False,False,True,stop,1,4,False,bullish,72.56174264263069,71.40061214209082,mixed,73.63159917147335,73.0815515273127,mixed,73.33887986200848,73.5983798130732,counter_global_or_structure,2026-06-22 19:15:00+00:00,-0.0021229052631578944,0.002,2,ny_long_neutral_reversal_ce
binance,SUIUSDT,15,3879,2026-06-22 18:00:00+00:00,2026-06-22 18:15:00+00:00,ny,high,neutral,long,next_open,fixed_2r,be_after_half_target,2026-06-22 18:15:00+00:00,0.7223,0.7166,0.7337000000000001,0.005700000000000038,none,-1.0,0.10097543859649055,-1.1009754385964905,1.2280701754385699,-1.8771929824561353,False,False,True,stop,1,3,False,mixed,0.7189751317456037,0.7387418579362732,bullish,0.7176986782507222,0.7151283371676587,mixed,0.7232819359803762,0.7199997908345441,counter_global_or_structure,2026-06-22 19:00:00+00:00,-0.002201950877192981,0.002,3,ny_long_neutral_reversal_ce
binance,BTCUSDT,15,3958,2026-06-23 13:45:00+00:00,2026-06-23 14:00:00+00:00,ny,normal,neutral,long,next_open,fixed_2r,be_after_half_target,2026-06-23 14:00:00+00:00,62446.5,61870.0,63599.5,576.5,none,-0.14015611448395995,0.08659996530789246,-0.22675607979185242,0.6775368603642646,-0.6433651344319192,False,False,False,expiry,1,24,False,bearish,63844.19556324939,64073.93544866245,bearish,63239.2990516819,63712.17187588421,mixed,62434.14241922036,62946.278716975525,counter_global_or_structure,2026-06-23 20:00:00+00:00,-0.00045351215958370486,0.002,0,ny_long_neutral_reversal_ce
binance,LINKUSDT,15,3958,2026-06-23 13:45:00+00:00,2026-06-23 14:00:00+00:00,ny,high,neutral,long,next_open,fixed_2r,be_after_half_target,2026-06-23 14:00:00+00:00,7.62,7.474,7.912,0.1459999999999999,none,-0.3150684931506869,0.04162739726027401,-0.35669589041096095,0.4794520547945228,-0.5410958904109574,False,False,False,expiry,1,24,False,bearish,7.887098102412217,7.957134310217189,bearish,7.739084685123352,7.844161661122864,mixed,7.598853971561372,7.685202414685398,counter_global_or_structure,2026-06-23 20:00:00+00:00,-0.0007133917808219219,0.002,1,ny_long_neutral_reversal_ce
