ts,exit_ts,symbol,exchange,tf,predictor,session,direction,entry_price,sl,tp1,risk_price,outcome_2r,hit_2r,planned_rr,duration_min,return_pct,mfe_r,mae_r,exit_reason,review_bucket,setup,trend_strength,consolidation_state,shock_alignment,compression_state,base_net_r,stress_net_r,notes_hint
2025-11-07 01:30:00+00:00,2025-11-07 03:00:00+00:00,XRPUSDT,binance,15,crypto_simple_context_change_strict_no_shock,asia,short,2.1989,2.2228,2.1511000000000005,0.02389999999999981,-1.1840083682008382,False,2.0,90.0,-0.23680167364016763,0.26359832635983355,-1.5564853556485436,stop,accepted_trade,context_change,transition,coiling_transition,no_shock,compressed,-1.0552025104602514,-1.1840083682008382,Full accepted trade. setup=context_change; session=asia; context=transition/coiling_transition/no_shock; stressR=-1.18.
2025-11-10 12:00:00+00:00,2025-11-11 06:00:00+00:00,XRPUSDT,binance,15,crypto_simple_context_change_strict_no_shock,ny,long,2.5336,2.4686,2.6635999999999997,0.06499999999999995,-1.0779569230769233,False,2.0,1080.0,-0.21559138461538463,0.712307692307693,-1.1938461538461531,stop,accepted_trade,context_change,strong_trend,directional,no_shock,expanded,-1.0233870769230768,-1.0779569230769233,Full accepted trade. setup=context_change; session=ny; context=strong_trend/directional/no_shock; stressR=-1.08.
2025-11-17 16:00:00+00:00,2025-11-17 16:30:00+00:00,XRPUSDT,binance,15,crypto_simple_context_change_strict_no_shock,ny,short,2.1833,2.2018,2.1463,0.01849999999999996,-1.236032432432433,False,2.0,30.0,-0.24720648648648658,0.8702702702702843,-1.3621621621621591,stop,accepted_trade,context_change,strong_trend,directional,no_shock,normal,-1.0708097297297299,-1.236032432432433,Full accepted trade. setup=context_change; session=ny; context=strong_trend/directional/no_shock; stressR=-1.24.
2025-11-19 05:00:00+00:00,2025-11-19 18:15:00+00:00,XRPUSDT,binance,15,crypto_simple_context_change_strict_no_shock,asia,short,2.1585,2.2171,2.0413000000000006,0.05859999999999976,1.9263310580204775,True,2.0,795.0,0.3852662116040955,2.0819112627986414,-0.19624573378839402,target,accepted_trade,context_change,trend,directional,no_shock,normal,1.9778993174061432,1.9263310580204775,Full accepted trade. setup=context_change; session=asia; context=trend/directional/no_shock; stressR=1.93.
2025-11-21 06:00:00+00:00,2025-11-21 07:30:00+00:00,XRPUSDT,binance,15,crypto_simple_context_change_strict_no_shock,asia,short,1.9808,1.9953,1.9517999999999995,0.01450000000000018,1.7267862068965552,True,2.0,90.0,0.345357241379311,9.62758620689643,-0.03448275862070074,target,accepted_trade,context_change,strong_trend,directional,no_shock,normal,1.9180358620689666,1.7267862068965552,Full accepted trade. setup=context_change; session=asia; context=strong_trend/directional/no_shock; stressR=1.73.
2025-11-26 01:30:00+00:00,2025-11-26 03:00:00+00:00,XRPUSDT,binance,15,crypto_simple_context_change_strict_no_shock,asia,long,2.2076,2.1869,2.248999999999999,0.02069999999999972,-1.213294685990341,False,2.0,90.0,-0.24265893719806822,0.05797101449276948,-1.0434782608695718,stop,accepted_trade,context_change,transition,transition,no_shock,normal,-1.0639884057971023,-1.213294685990341,Full accepted trade. setup=context_change; session=asia; context=transition/transition/no_shock; stressR=-1.21.
2025-12-02 07:00:00+00:00,2025-12-02 08:15:00+00:00,XRPUSDT,binance,15,crypto_simple_context_change_strict_no_shock,london,short,2.0169,2.0271,1.9965000000000006,0.010199999999999765,1.6045294117646967,True,2.0,75.0,0.3209058823529393,2.2745098039216316,-0.09803921568626597,target,accepted_trade,context_change,transition,transition,no_shock,normal,1.881358823529409,1.6045294117646967,Full accepted trade. setup=context_change; session=london; context=transition/transition/no_shock; stressR=1.60.
2025-12-05 16:00:00+00:00,2025-12-05 16:30:00+00:00,XRPUSDT,binance,15,crypto_simple_context_change_strict_no_shock,ny,short,2.0578,2.0684,2.0365999999999995,0.010600000000000165,1.6117358490566098,True,2.0,30.0,0.322347169811322,3.811320754716921,-0.42452830188680196,target,accepted_trade,context_change,trend,directional,no_shock,normal,1.883520754716983,1.6117358490566098,Full accepted trade. setup=context_change; session=ny; context=trend/directional/no_shock; stressR=1.61.
2025-12-06 00:00:00+00:00,2025-12-06 01:15:00+00:00,XRPUSDT,binance,15,crypto_simple_context_change_strict_no_shock,asia,short,2.0214,2.0355,1.9931999999999999,0.014100000000000001,-1.286723404255319,False,2.0,75.0,-0.2573446808510638,0.36879432624112557,-1.1843971631205785,stop,accepted_trade,context_change,weak_or_range,range,no_shock,normal,-1.0860170212765956,-1.286723404255319,Full accepted trade. setup=context_change; session=asia; context=weak_or_range/range/no_shock; stressR=-1.29.
2025-12-15 11:30:00+00:00,2025-12-15 14:45:00+00:00,XRPUSDT,binance,15,crypto_simple_context_change_strict_no_shock,london,short,1.9844,2.0014,1.9504000000000001,0.016999999999999904,1.766541176470587,True,2.0,195.0,0.3533082352941174,3.335294117647076,-0.19411764705882936,target,accepted_trade,context_change,transition,range_to_trend_transition,no_shock,normal,1.929962352941176,1.766541176470587,Full accepted trade. setup=context_change; session=london; context=transition/range_to_trend_transition/no_shock; stressR=1.77.
