pair,exchange,entry_tf,leverage,entry_len,exit_len,stop_atr_mult,stop_mode,risk_pct,trades,win_rate,profit_factor,payoff_ratio,avg_r,total_pnl,return_pct,final_equity,max_drawdown_pct,max_drawdown,sharpe,avg_duration_min,error
BTCUSDT,binance,5,50.0,20,10,3.0,channel,0.005,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
BTCUSDT,binance,5,50.0,40,10,2.0,atr,0.005,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
BTCUSDT,binance,5,50.0,40,10,2.0,channel,0.005,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
BTCUSDT,binance,5,50.0,40,10,3.0,atr,0.005,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
BTCUSDT,binance,5,50.0,40,10,3.0,channel,0.005,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
BTCUSDT,binance,15,50.0,20,10,2.0,atr,0.005,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
BTCUSDT,binance,15,50.0,20,10,2.0,channel,0.005,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
BTCUSDT,binance,15,50.0,20,10,3.0,atr,0.005,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
BTCUSDT,binance,15,50.0,20,10,3.0,channel,0.005,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
BTCUSDT,binance,15,50.0,40,10,2.0,atr,0.005,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
BTCUSDT,binance,15,50.0,40,10,2.0,channel,0.005,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
BTCUSDT,binance,15,50.0,40,10,3.0,atr,0.005,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
BTCUSDT,binance,15,50.0,40,10,3.0,channel,0.005,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
ETHUSDT,binance,15,50.0,20,10,2.0,channel,0.005,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
ETHUSDT,binance,15,50.0,20,10,3.0,atr,0.005,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
ETHUSDT,binance,15,50.0,20,10,3.0,channel,0.005,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
ETHUSDT,binance,15,50.0,40,10,2.0,atr,0.005,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
ETHUSDT,binance,15,50.0,40,10,2.0,channel,0.005,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
ETHUSDT,binance,15,50.0,40,10,3.0,atr,0.005,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
ETHUSDT,binance,15,50.0,40,10,3.0,channel,0.005,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
SOLUSDT,binance,15,50.0,40,10,2.0,channel,0.005,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
SOLUSDT,binance,15,50.0,40,10,3.0,channel,0.005,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
