pair,exchange,entry_tf,leverage,entry_len,exit_len,stop_atr_mult,stop_mode,risk_pct,trades,win_rate,profit_factor,payoff_ratio,avg_r,total_pnl,return_pct,final_equity,max_drawdown_pct,max_drawdown,sharpe,avg_duration_min,error
BNBUSDT,binance,5,50.0,20,10,2.0,atr,0.005,882,0.2698,0.64,1.731,-0.241,-12.49,-0.6243,7.51,0.6411,12.89,-1.938,93.8,
ETHUSDT,binance,5,50.0,20,10,2.0,channel,0.005,257,0.2685,0.626,1.706,-0.22,-4.9,-0.2448,15.1,0.2758,5.52,-2.386,102.9,
ETHUSDT,binance,5,50.0,20,10,3.0,channel,0.005,257,0.2685,0.626,1.706,-0.22,-4.9,-0.2448,15.1,0.2758,5.52,-2.386,102.9,
XRPUSDT,binance,5,50.0,20,10,3.0,atr,0.005,777,0.2806,0.624,1.601,-0.2,-10.94,-0.547,9.06,0.5689,11.77,-2.369,109.8,
XRPUSDT,binance,5,50.0,20,10,2.0,atr,0.005,836,0.2572,0.614,1.774,-0.275,-13.85,-0.6925,6.15,0.7167,15.2,-2.347,93.7,
XRPUSDT,binance,5,50.0,20,10,2.0,channel,0.005,742,0.2857,0.599,1.497,-0.194,-10.35,-0.5176,9.65,0.5375,10.99,-2.582,111.5,
XRPUSDT,binance,5,50.0,20,10,3.0,channel,0.005,742,0.2857,0.599,1.497,-0.194,-10.35,-0.5176,9.65,0.5375,10.99,-2.582,111.5,
ETHUSDT,binance,5,50.0,40,10,2.0,channel,0.005,145,0.2414,0.549,1.727,-0.277,-3.54,-0.1771,16.46,0.2127,4.25,-3.23,99.8,
ETHUSDT,binance,5,50.0,40,10,3.0,channel,0.005,145,0.2414,0.549,1.727,-0.277,-3.54,-0.1771,16.46,0.2127,4.25,-3.23,99.8,
BTCUSDT,binance,5,50.0,40,10,2.0,atr,0.005,47,0.2553,0.543,1.584,-0.439,-1.86,-0.0931,18.14,0.1328,2.66,-2.584,78.6,
ETHUSDT,binance,15,50.0,20,10,2.0,atr,0.005,52,0.2885,0.504,1.243,-0.381,-1.86,-0.0928,18.14,0.1009,2.02,-4.484,301.4,
ETHUSDT,binance,15,50.0,20,10,2.0,channel,0.005,23,0.2174,0.398,1.433,-0.446,-0.99,-0.0493,19.01,0.0524,1.05,-6.301,339.8,
ETHUSDT,binance,15,50.0,20,10,3.0,channel,0.005,23,0.2174,0.398,1.433,-0.446,-0.99,-0.0493,19.01,0.0524,1.05,-6.301,339.8,
ETHUSDT,binance,15,50.0,20,10,3.0,atr,0.005,15,0.1333,0.222,1.443,-0.662,-0.91,-0.0457,19.09,0.0548,1.1,-11.586,314.0,
ETHUSDT,binance,15,50.0,40,10,3.0,atr,0.005,7,0.1429,0.129,0.773,-0.802,-0.53,-0.0266,19.47,0.0266,0.53,-17.144,246.4,
ETHUSDT,binance,15,50.0,40,10,2.0,channel,0.005,9,0.1111,0.123,0.987,-0.799,-0.67,-0.0336,19.33,0.0336,0.67,-18.165,245.0,
ETHUSDT,binance,15,50.0,40,10,3.0,channel,0.005,9,0.1111,0.123,0.987,-0.799,-0.67,-0.0336,19.33,0.0336,0.67,-18.165,245.0,
ETHUSDT,binance,15,50.0,40,10,2.0,atr,0.005,24,0.125,0.073,0.511,-0.936,-2.02,-0.1011,17.98,0.1011,2.02,-22.832,220.6,
BTCUSDT,binance,15,50.0,20,10,2.0,atr,0.005,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
BTCUSDT,binance,15,50.0,20,10,2.0,channel,0.005,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
BTCUSDT,binance,15,50.0,20,10,3.0,atr,0.005,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
BTCUSDT,binance,15,50.0,20,10,3.0,channel,0.005,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
BTCUSDT,binance,15,50.0,40,10,2.0,atr,0.005,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
BTCUSDT,binance,15,50.0,40,10,2.0,channel,0.005,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
BTCUSDT,binance,15,50.0,40,10,3.0,atr,0.005,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
BTCUSDT,binance,15,50.0,40,10,3.0,channel,0.005,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
